NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
1	081212_1to5	apic	16	0.500	0.3	1.8	0.005578	234.314	0.000631
1	081212_1to5	apic	16	0.577	0.3	1.8	0.006105	234.149	0.000626
1	081212_1to5	apic	16	0.654	0.3	1.8	0.006755	233.915	0.000631
1	081212_1to5	apic	16	0.731	0.3	1.8	0.007570	234.031	0.000645
1	081212_1to5	apic	16	0.808	0.3	1.8	0.008646	233.771	0.000653
1	081212_1to5	apic	16	0.885	0.3	1.8	0.010060	233.693	0.000675
1	081212_1to5	apic	16	0.962	0.3	1.8	0.011930	233.304	0.000708
1	081212_1to5	apic	16	1.000	0.3	1.8	0.013048	233.348	0.000719
1	081212_1to5	apic	6	0.409	0.3	1.8	0.004972	234.309	0.000580
1	081212_1to5	apic	6	0.500	0.3	1.8	0.005426	234.115	0.000575
1	081212_1to5	apic	6	0.591	0.3	1.8	0.005974	233.942	0.000578
1	081212_1to5	apic	6	0.682	0.3	1.8	0.006664	233.856	0.000590
1	081212_1to5	apic	6	0.773	0.3	1.8	0.007543	233.771	0.000597
1	081212_1to5	apic	6	0.864	0.3	1.8	0.008710	233.548	0.000614
1	081212_1to5	apic	6	0.955	0.3	1.8	0.010253	233.326	0.000643
1	081212_1to5	apic	6	1.000	0.3	1.8	0.011186	233.353	0.000652
1	081212_1to5	dend	59	0.115	0.3	1.8	0.003995	234.576	0.000603
1	081212_1to5	dend	59	0.192	0.3	1.8	0.004241	234.316	0.000591
1	081212_1to5	dend	59	0.269	0.3	1.8	0.004495	234.102	0.000589
1	081212_1to5	dend	59	0.346	0.3	1.8	0.004763	234.097	0.000593
1	081212_1to5	dend	59	0.423	0.3	1.8	0.005055	233.862	0.000602
1	081212_1to5	dend	59	0.500	0.3	1.8	0.005381	233.761	0.000613
1	081212_1to5	dend	59	0.577	0.3	1.8	0.005762	233.541	0.000618
1	081212_1to5	dend	59	0.654	0.3	1.8	0.006218	233.316	0.000633
1	081212_1to5	dend	59	0.731	0.3	1.8	0.006773	233.345	0.000641
1	081212_1to5	dend	59	0.808	0.3	1.8	0.007470	233.217	0.000661
1	081212_1to5	dend	59	0.885	0.3	1.8	0.008329	233.137	0.000676
1	081212_1to5	dend	59	0.962	0.3	1.8	0.009432	232.905	0.000702
1	081212_1to5	dend	59	1.000	0.3	1.8	0.010077	232.958	0.000711
1	081212_1to5	dend	60	0.167	0.3	1.8	0.004063	234.503	0.000603
1	081212_1to5	dend	60	0.278	0.3	1.8	0.004370	234.348	0.000589
1	081212_1to5	dend	60	0.389	0.3	1.8	0.004708	234.157	0.000582
1	081212_1to5	dend	60	0.500	0.3	1.8	0.005097	234.038	0.000582
1	081212_1to5	dend	60	0.611	0.3	1.8	0.005565	233.701	0.000592
1	081212_1to5	dend	60	0.722	0.3	1.8	0.006145	233.773	0.000592
1	081212_1to5	dend	60	0.833	0.3	1.8	0.006893	233.539	0.000605
1	081212_1to5	dend	60	0.944	0.3	1.8	0.007839	233.511	0.000617
1	081212_1to5	dend	60	1.000	0.3	1.8	0.008449	233.308	0.000631
