NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
1	110426_Sl4_Cl2_4to6	apic	10	0.136	0.3	1.8	0.004178	138.692	0.000854
1	110426_Sl4_Cl2_4to6	apic	10	0.227	0.3	1.8	0.004531	138.606	0.000867
1	110426_Sl4_Cl2_4to6	apic	11	0.136	0.3	1.8	0.004194	138.738	0.000854
1	110426_Sl4_Cl2_4to6	apic	11	0.227	0.3	1.8	0.004558	138.525	0.000869
1	110426_Sl4_Cl2_4to6	apic	16	0.038	0.3	1.8	0.003791	138.989	0.000832
1	110426_Sl4_Cl2_4to6	apic	16	0.115	0.3	1.8	0.004190	138.752	0.000815
1	110426_Sl4_Cl2_4to6	apic	16	0.192	0.3	1.8	0.004599	138.550	0.000841
1	110426_Sl4_Cl2_4to6	apic	16	0.269	0.3	1.8	0.005027	138.374	0.000886
1	110426_Sl4_Cl2_4to6	apic	17	0.136	0.3	1.8	0.004199	138.798	0.000818
1	110426_Sl4_Cl2_4to6	apic	17	0.227	0.3	1.8	0.004623	138.552	0.000837
1	110426_Sl4_Cl2_4to6	apic	17	0.318	0.3	1.8	0.005076	138.454	0.000870
1	110426_Sl4_Cl2_4to6	apic	17	0.409	0.3	1.8	0.005583	138.286	0.000903
1	110426_Sl4_Cl2_4to6	apic	23	0.500	0.3	1.8	0.003858	138.966	0.000785
1	110426_Sl4_Cl2_4to6	apic	31	0.100	0.3	1.8	0.004031	138.989	0.000785
1	110426_Sl4_Cl2_4to6	apic	46	0.167	0.3	1.8	0.003939	138.965	0.000785
1	110426_Sl4_Cl2_4to6	apic	4	0.136	0.3	1.8	0.003942	138.852	0.000849
1	110426_Sl4_Cl2_4to6	apic	4	0.227	0.3	1.8	0.004314	138.665	0.000857
1	110426_Sl4_Cl2_4to6	apic	4	0.318	0.3	1.8	0.004708	138.561	0.000882
1	110426_Sl4_Cl2_4to6	apic	4	0.409	0.3	1.8	0.005144	138.385	0.000908
1	110426_Sl4_Cl2_4to6	apic	5	0.500	0.3	1.8	0.003629	138.952	0.000852
1	110426_Sl4_Cl2_4to6	apic	5	1.000	0.3	1.8	0.003837	138.816	0.000845
1	110426_Sl4_Cl2_4to6	apic	6	0.045	0.3	1.8	0.004028	138.660	0.000857
1	110426_Sl4_Cl2_4to6	apic	6	0.136	0.3	1.8	0.004421	138.458	0.000900
1	110426_Sl4_Cl2_4to6	apic	7	0.056	0.3	1.8	0.004010	138.678	0.000853
1	110426_Sl4_Cl2_4to6	apic	7	0.167	0.3	1.8	0.004374	138.452	0.000878
1	110426_Sl4_Cl2_4to6	apic	7	0.278	0.3	1.8	0.004773	138.368	0.000902
1	110426_Sl4_Cl2_4to6	dend	58	0.500	0.3	1.8	0.003671	138.929	0.000845
1	110426_Sl4_Cl2_4to6	dend	58	0.833	0.3	1.8	0.003966	138.555	0.000842
