NUMBER_OF_SYNAPSES	fit_to_EPSP	SEC_List	Sec_Index	Sec_Seg	TAU_1	TAU_2	WEIGHT	Spike_time	RMSD
1	081212_2to3	apic	10	0.045	0.3	1.8	0.001528	242.384	0.000333
1	081212_2to3	apic	11	0.045	0.3	1.8	0.001530	242.428	0.000333
1	081212_2to3	apic	15	1.000	0.3	1.8	0.001492	242.544	0.000346
1	081212_2to3	apic	16	0.038	0.3	1.8	0.001537	242.589	0.000347
1	081212_2to3	apic	17	0.045	0.3	1.8	0.001537	242.506	0.000346
1	081212_2to3	apic	22	0.500	0.3	1.8	0.001472	242.867	0.000381
1	081212_2to3	apic	22	1.000	0.3	1.8	0.001510	242.707	0.000380
1	081212_2to3	apic	30	0.500	0.3	1.8	0.001566	242.874	0.000390
1	081212_2to3	apic	3	0.833	0.3	1.8	0.001376	242.704	0.000346
1	081212_2to3	apic	3	1.000	0.3	1.8	0.001418	242.726	0.000334
1	081212_2to3	apic	4	0.045	0.3	1.8	0.001458	242.674	0.000332
1	081212_2to3	apic	4	0.136	0.3	1.8	0.001534	242.331	0.000338
1	081212_2to3	apic	5	0.500	0.3	1.8	0.001479	242.544	0.000337
1	081212_2to3	apic	9	0.700	0.3	1.8	0.001424	242.729	0.000337
1	081212_2to3	apic	9	0.900	0.3	1.8	0.001471	242.616	0.000330
1	081212_2to3	apic	9	1.000	0.3	1.8	0.001493	242.511	0.000334
1	081212_2to3	dend	14	1.000	0.3	1.8	0.001443	242.301	0.000315
1	081212_2to3	dend	15	0.167	0.3	1.8	0.001472	242.312	0.000317
1	081212_2to3	dend	39	0.900	0.3	1.8	0.001379	242.609	0.000315
1	081212_2to3	dend	39	1.000	0.3	1.8	0.001401	242.504	0.000313
1	081212_2to3	dend	40	0.045	0.3	1.8	0.001432	242.425	0.000315
1	081212_2to3	dend	41	0.056	0.3	1.8	0.001429	242.333	0.000315
1	081212_2to3	dend	58	0.500	0.3	1.8	0.001478	242.416	0.000336
